"author.id","author.name","author.birth","author.death","works.viaf.count","article.count","word.count"
"viaf:102460074","خليلافندي مطران","1872-07-01","1949-06-01","58",1,817
"","كاظم الدجيلي","","","",1,811
"","ش","","","",1,771
"","أبو الضياء","","","",1,739
"","أحمد إبراهيم خربوطلي","","","",1,706
"","الدكتور بورتو","","","",1,646
"","ف","","","",1,646
"","ج ق","","","",1,632
"viaf:90070090","جرجي ديمتري سرسق","1852","1913","1",1,604
"","أ. ز. أ","","","",1,590
"","ج. ص.","","","",1,535
"viaf:96963151","محمد جميل أفندي الشطي","1882","1959","1",1,471
"","ج","","","",1,460
"","أ. ج","","","",1,380
"viaf:90073709","عبد الله باشا فكري","1834","1890","10",1,373
"viaf:305215014","أمين ظاهر خير الله","1948","1948","2",1,364
"viaf:7540373","أحمد شوقي","1868-12-25","1932-10-23","61",1,343
"","قسطاكي المحصي","","","",1,319
"viaf:305214783","بولس الخولي","1876","1948","1",1,310
"viaf:270654623","رشيد الخوري","1887","1984-08-27","17",1,296
"viaf:562149106368268492514","طانيوس أفندي عبده","1863","1927","10",1,245
"","محمد باقر الشبيبي","","","",1,223
"","ا. ج","","","",1,216
"viaf:24886545","عبد المحسن الكاظمي","1865","1935","8",1,184
"viaf:45752632","إسماعيل صبري","1854","1923","6",1,171
"viaf:51537156","إسعاف النشاشيبي","","","4",1,163
"viaf:19561669","نقولا أفندي رزق الله","1869-03-12","1915-04-20","3",1,160
"","محمد إمام العبد","","","",1,151
"","ي د","","","",1,137
"viaf:265101315","مصطفى الغلاييني","1886-01-01","1944","28",1,129
"","محمود سامي البارودي","","","",1,28
