"target.id.oclc","target.title","target.location.name","target.location.coordinates","source.id.oclc","source.location.name","source.location.coordinates","article.count","issue.count","target.title.transliterated"
19000299,"مجلة المجلات النيويوركية","New York City","40.71427, -74.00597",4770057679,"al-Qāhira","30.06263, 31.24967",5,5,"mjl0 almjlat alnywywrky0"
263593774,"الطان","Paris","48.85341, 2.3488",4770057679,"Dimashq","33.5102, 36.29128",5,5,"alTan"
1034555409,"الضياء","al-Qāhira","30.06263, 31.24967",4770057679,"al-Qāhira","30.06263, 31.24967",5,5,"alDyaq"
4770057679,"المقتبس","al-Qāhira","30.06263, 31.24967",472450345,"Baghdād","33.34058, 44.40088",5,5,"almQtbs"
NA,"الأحكام",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",5,3,"ala7kam"
NA,"الأخبار",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",5,6,"alaKbar"
NA,"الحكومة",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",5,5,"al7kwm0"
NA,"الحياة",NA,NA,4770057679,"al-Qāhira","30.06263, 31.24967",5,3,"al7ya0"
NA,"بغداد",NA,NA,472450345,"Baghdād","33.34058, 44.40088",5,1,"bGdad"
1639361,"الهلال","al-Qāhira","30.06263, 31.24967",472450345,"Baghdād","33.34058, 44.40088",4,4,"alhlal"
19000299,"مجلة المجلات الأميركية","New York City","40.71427, -74.00597",4770057679,"al-Qāhira","30.06263, 31.24967",4,3,"mjl0 almjlat alamyrky0"
297351216,"مجلة المجلات الإنكليزية","London","51.50853, -0.12574",4770057679,"al-Qāhira","30.06263, 31.24967",4,4,"mjl0 almjlat alanklyzy0"
792755902,"المؤيد","al-Qāhira","30.06263, 31.24967",644997575,"Dimashq","33.5102, 36.29128",4,5,"almoyd"
792755902,"المؤيد","al-Qāhira","30.06263, 31.24967",4770057679,"al-Qāhira","30.06263, 31.24967",4,4,"almoyd"
792756327,"الحسناء","Bayrūt","33.88894, 35.49442",4770057679,"Dimashq","33.5102, 36.29128",4,4,"al7snaq"
992611467,"التيمس","London","51.50853, -0.12574",4770057679,"Dimashq","33.5102, 36.29128",4,4,"altyms"
1034550756,"الحقيقة","Bayrūt","33.88894, 35.49442",1588981,"al-Qāhira","30.06263, 31.24967",4,4,"al7QyQ0"
NA,"الاقتصاد",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",4,4,"alaQtSad"
NA,"الديبا",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",4,4,"aldyba"
NA,"الطبيعة",NA,NA,4770057679,"al-Qāhira","30.06263, 31.24967",4,4,"alTby30"
NA,"العالمين",NA,NA,4770057679,"al-Qāhira","30.06263, 31.24967",4,4,"al3almyn"
NA,"العراق",NA,NA,472450345,"Baghdād","33.34058, 44.40088",4,1,"al3raQ"
NA,"العروة",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",4,4,"al3rw0"
NA,"العلم","Baghdād","33.34058, 44.40088",4770057679,"Dimashq","33.5102, 36.29128",4,4,"al3lm"
NA,"القرن",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",4,5,"alQrn"
NA,"المنبر",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",4,5,"almnbr"
NA,"النبراس",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",4,4,"alnbras"
NA,"الهدى",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",4,4,"alhdA"
NA,"تربيت",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",4,3,"trbyt"
NA,"جريدة المقتبس",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",4,4,"jryd0 almQtbs"
NA,"حديقة الأخبار",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",4,3,"7dyQ0 alaKbar"
NA,"دين ومعيشت",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",4,4,"dyn wm3yWt"
NA,"سبل الرشاد",NA,NA,472450345,"Baghdād","33.34058, 44.40088",4,3,"sbl alrWad"
NA,"طنين",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",4,4,"Tnyn"
1588981,"المنار","al-Qāhira","30.06263, 31.24967",644997575,"Dimashq","33.5102, 36.29128",3,3,"almnar"
263593774,"الطان","Paris","48.85341, 2.3488",4770057679,"al-Qāhira","30.06263, 31.24967",3,3,"alTan"
472961896,"مجلة المجلات","Paris","48.85341, 2.3488",644997575,"Dimashq","33.5102, 36.29128",3,3,"mjl0 almjlat"
473817521,"المشرق","Bayrūt","33.88894, 35.49442",472450345,"Baghdād","33.34058, 44.40088",3,4,"almWrQ"
792754974,"البيان","al-Qāhira","30.06263, 31.24967",1588981,"al-Qāhira","30.06263, 31.24967",3,4,"albyan"
792754974,"البيان","al-Qāhira","30.06263, 31.24967",4770057679,"Dimashq","33.5102, 36.29128",3,3,"albyan"
1034547407,"الجامعة","Alexandria","31.20176, 29.91582",4770057679,"al-Qāhira","30.06263, 31.24967",3,2,"aljam30"
NA,"أدلة الترقي",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",3,2,"adl0 altrQy"
NA,"إقدام",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",3,2,"aQdam"
NA,"اجتهاد",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",3,3,"ajthad"
